basin_id;output;benchmark_kge;benchmark_type;3km_kge;1km_kge;200m_kge;beat_benchmark;ksat_3km;ksat_1km;ksat_200m;3km_nse;1km_nse;200m_nse;best_performance;mean_marrmot
0;TRUE;0.703476133;mean;0.29;0.346;0.351;FALSE;1;1;1;0.185;0.287;0.309;200m;0.286853611
1;TRUE;0.277206738;mean;0.774;0.79;0.771;TRUE;200;90;30;0.719;0.677;0.621;1km;0.677900255
2;TRUE;0.494196799;median;0.582;0.556;0.564;TRUE;1;10;10;0.503;0.424;0.4;3km;0.485717641
3;TRUE;0.295892042;median;0.736;0.709;0.769;TRUE;30;10;10;0.763;0.732;0.718;200m;0.624234241
4;TRUE;0.246806047;median;0.684;0.71;0.499;TRUE;20;10;1;0.737;0.724;0.638;1km;0.649563397
5;FALSE;;;;;;FALSE;;;;;;; ;0.46212788
6;TRUE;0.06669215;mean;0.779;0.726;0.721;TRUE;1;1;1;0.636;0.688;0.712;3km;0.558639106
7;TRUE;0.151489776;median;0.689;0.618;0.654;TRUE;20;1;1;0.653;0.638;0.706;3km;0.55269431
8;TRUE;0.143931259;median;0.495;0.624;0.656;TRUE;90;20;10;0.559;0.633;0.617;200m;0.621729171
9;TRUE;0.057008384;mean;0.357;0.54;0.796;TRUE;250;30;10;0.382;0.597;0.727;200m;0.710761985
10;TRUE;0.20401567;median;0.583;0.617;0.576;TRUE;30;10;10;0.536;0.586;0.549;1km;0.5917975
11;TRUE;0.144024398;median;-0.064;-0.264;-0.412;FALSE;80;30;10;-3.02;-4.816;-5.557;3km;
12;TRUE;0.161768959;median;0.427;0.567;0.582;TRUE;40;20;10;0.457;0.613;0.59;200m;
13;TRUE;0.112961472;mean;0.489;0.69;0.788;TRUE;50;20;10;0.573;0.754;0.768;200m;0.701373716
14;TRUE;-0.082469946;mean;0.479;0.634;0.466;TRUE;10;10;1;0.529;0.592;0.577;1km;0.522857715
15;TRUE;0.192396812;mean;0.684;0.678;0.611;TRUE;10;10;1;0.586;0.58;0.504;3km;0.565723222
16;TRUE;0.210307924;mean;0.479;0.539;0.586;TRUE;20;10;10;0.514;0.55;0.535;200m;0.52207021
17;TRUE;-0.067873124;median;-0.713;-0.658;-1.33;FALSE;30;20;10;-7.751;-6.558;-8.5;1km;0.352098159
18;TRUE;0.215279715;median;0.418;0.378;0.601;TRUE;30;10;10;0.422;0.431;0.522;200m;0.46080875
19;TRUE;0.214447884;median;0.47;0.65;0.32;TRUE;10;10;1;0.586;0.588;0.478;1km;0.510588539
20;TRUE;0.070537311;mean;0.543;0.667;0.642;TRUE;60;20;10;0.428;0.264;0.285;1km;
21;TRUE;0.143401118;mean;0.589;0.579;0.656;TRUE;30;10;10;0.539;0.525;0.611;200m;0.580162131
22;TRUE;0.099999071;median;0.445;0.666;0.688;TRUE;40;20;10;0.447;0.585;0.625;200m;0.571631634
23;TRUE;0.02650503;mean;0.626;0.652;0.579;TRUE;40;20;10;0.559;0.592;0.563;1km;0.634234535
24;TRUE;-0.018673988;mean;0.482;0.598;0.623;TRUE;40;20;10;0.47;0.573;0.603;200m;0.655084978
25;FALSE;;;;;;FALSE;;;;;;; ;0.701250879
26;TRUE;0.102324447;median;-1.16;-1.292;-1.466;FALSE;20;10;10;-11.841;-15.317;-9.58;3km;0.583313073
27;TRUE;-0.001452766;mean;0.733;0.774;0.737;TRUE;20;10;10;0.598;0.665;0.672;1km;0.618565214
28;TRUE;0.010143185;mean;0.7;0.641;0.747;TRUE;60;40;10;0.601;0.582;0.615;200m;0.360931781
